value,proposed,result
43315, 30320.5, 0
76082, 30432.8, 0
75867, 45520.2, 1
97064, 67944.8, 0
69192, 48434.4, 0
13981, 6990.5, 1
41387, 12416.1, 0
79710, 47826.0, 1
99415, 69590.5, 1
78278, 46966.8, 0
60737, 24294.8, 1
80544, 24163.2, 0
76074, 38037.0, 0
73919, 22175.7, 0
34182, 23927.4, 1
53857, 26928.5, 0
83149, 41574.5, 0
27694, 16616.4, 1
81752, 57226.4, 1
32668, 9800.4, 0
2091, 418.2, 1
38287, 7657.4, 0
92075, 27622.5, 0
92395, 18479.0, 0
25470, 7641.0, 0
46531, 9306.2, 1
48794, 14638.2, 0
56493, 22597.2, 0
14435, 10104.5, 1
40359, 24215.4, 1
99850, 69895.0, 1
65851, 19755.3, 0
66253, 19875.9, 0
43283, 12984.9, 0
67275, 20182.5, 0
14607, 4382.1, 1
12522, 3756.6, 0
20879, 6263.7, 0
40518, 24310.8, 1
58406, 29203.0, 0
85521, 17104.2, 0
51431, 10286.2, 0
41800, 16720.0, 0
26171, 10468.4, 0
70595, 35297.5, 0
37690, 22614.0, 0
2946, 2062.2, 1
61978, 43384.6, 1
27246, 5449.2, 0
91520, 18304.0, 0
53457, 10691.4, 0
10135, 6081.0, 0
89446, 44723.0, 0
8399, 2519.7, 0
72005, 43203.0, 1
46007, 27604.2, 0
43167, 17266.8, 0
39001, 19500.5, 1
92983, 18596.6, 0
97772, 29331.6, 0
90718, 45359.0, 1
19697, 3939.4, 0
83548, 58483.6, 1
9256, 2776.8, 0
47063, 9412.6, 0
39138, 7827.6, 0
75500, 22650.0, 0
49962, 34973.4, 0
17106, 3421.2, 0
61893, 12378.6, 0
23967, 11983.5, 0
57947, 17384.1, 0
18027, 3605.4, 0
56669, 17000.7, 0
10325, 2065.0, 0
71531, 21459.3, 1
73555, 36777.5, 0
40628, 28439.6, 1
18738, 9369.0, 0
61427, 24570.8, 0
10681, 3204.3, 0
18177, 10906.2, 0
70611, 14122.2, 0
64954, 12990.8, 0
62353, 37411.8, 1
78694, 23608.2, 0
57567, 28783.5, 1
27022, 8106.6, 0
91885, 18377.0, 0
31632, 18979.2, 0
84024, 58816.8, 1
77972, 23391.6, 0
62506, 43754.2, 0
96622, 57973.2, 0
88096, 17619.2, 1
8391, 2517.3, 0
44117, 22058.5, 1
3485, 1045.5, 0
40500, 12150.0, 0
17483, 5244.9, 0
86207, 60344.9, 1
81188, 24356.4, 0
42007, 12602.1, 0
86868, 43434.0, 0
61659, 18497.7, 0
16697, 5009.1, 1
19425, 13597.5, 0
78158, 23447.4, 0
44632, 8926.4, 0
97404, 68182.8, 1
94059, 28217.7, 0
33347, 10004.1, 0
42655, 21327.5, 0
72134, 50493.8, 0
12558, 3767.4, 0
90797, 36318.8, 1
80012, 56008.4, 1
39393, 7878.6, 0
83686, 58580.2, 0
48393, 9678.6, 0
60146, 42102.2, 1
17447, 12212.9, 0
39630, 27741.0, 0
51139, 10227.8, 0
4918, 3442.6, 0
17317, 5195.1, 0
59452, 41616.4, 1
70508, 14101.6, 0
1208, 362.4, 0
61707, 18512.1, 0
30785, 18471.0, 1
43956, 21978.0, 0
60470, 12094.0, 0
89906, 26971.8, 0
12698, 3809.4, 0
85235, 59664.5, 1
90362, 36144.8, 0
15099, 4529.7, 1
6846, 4107.6, 0
66949, 20084.7, 0
9701, 6790.7, 1
74223, 37111.5, 0
24786, 17350.2, 1
77766, 38883.0, 0
38614, 23168.4, 0
46458, 18583.2, 0
51621, 15486.3, 0
42214, 12664.2, 0
84121, 25236.3, 1
46506, 13951.8, 0
77424, 23227.2, 0
50584, 10116.8, 0
29626, 5925.2, 0
23620, 11810.0, 1
58291, 11658.2, 0
91845, 45922.5, 0
84137, 16827.4, 0
72885, 36442.5, 0
20966, 12579.6, 0
75590, 30236.0, 0
33091, 9927.3, 0
8249, 1649.8, 1
98386, 19677.2, 0
14367, 4310.1, 0
44184, 22092.0, 0
90191, 18038.2, 0
74903, 14980.6, 0
27141, 18998.7, 0
78940, 15788.0, 0
4708, 941.6, 1
92425, 27727.5, 1
25036, 10014.4, 0
62707, 31353.5, 0
83712, 41856.0, 0
2928, 878.4, 0
58483, 17544.9, 0
40724, 16289.6, 0
87814, 52688.4, 1
72724, 29089.6, 0
70506, 49354.2, 0
43518, 13055.4, 0
99545, 19909.0, 0
64449, 45114.3, 1
2711, 1084.4, 0
52439, 15731.7, 0
83517, 25055.1, 0
16192, 9715.2, 1
22390, 6717.0, 0
98820, 29646.0, 0
42124, 29486.8, 1
45922, 22961.0, 0
93974, 18794.8, 0
3074, 922.2, 0
22366, 6709.8, 1
56778, 17033.4, 0
50055, 20022.0, 1
11316, 5658.0, 0
25914, 7774.2, 1
31203, 6240.6, 0
9586, 2875.8, 0
26137, 18295.9, 0
63085, 44159.5, 0
20826, 10413.0, 0
7596, 2278.8, 0
32562, 6512.4, 0
