id,value,proposed,result
1, 7599, 2279.7, 0
0, 9833, 6883.1, 0
7, 5592, 1677.6, 1
5, 3647, 729.4, 0
7, 7097, 2129.1, 0
9, 5428, 1628.4, 1
5, 6275, 1255.0, 1
3, 6938, 3469.0, 0
2, 8046, 1609.2, 0
5, 1666, 333.2, 0
3, 1874, 937.0, 1
6, 4789, 1915.6, 0
8, 7994, 2398.2, 0
9, 6653, 1995.9, 1
8, 5744, 1723.2, 1
3, 3281, 1640.5, 0
4, 3049, 1829.4, 1
4, 9899, 5939.4, 0
7, 4408, 1322.4, 1
5, 4277, 855.4, 0
3, 7137, 3568.5, 0
4, 2358, 1414.8, 1
9, 9457, 2837.1, 0
1, 8250, 2475.0, 1
0, 5565, 3895.5, 0
2, 2667, 533.4, 0
6, 4635, 1854.0, 0
7, 7160, 2148.0, 0
1, 7526, 2257.8, 0
2, 1064, 212.8, 0
8, 1845, 553.5, 0
5, 5652, 1130.4, 0
1, 6116, 1834.8, 1
5, 9520, 1904.0, 0
9, 7512, 2253.6, 1
7, 7402, 2220.6, 0
8, 2488, 746.4, 0
0, 8993, 6295.1, 0
5, 7105, 1421.0, 0
6, 1332, 532.8, 0
4, 3411, 2046.6, 0
6, 9588, 3835.2, 1
9, 9608, 2882.4, 1
9, 8931, 2679.3, 1
1, 2284, 685.2, 0
9, 2543, 762.9, 0
8, 8074, 2422.2, 0
4, 8045, 4827.0, 0
4, 4783, 2869.8, 0
9, 5238, 1571.4, 0
8, 6206, 1861.8, 0
8, 7804, 2341.2, 0
5, 7570, 1514.0, 1
1, 7151, 2145.3, 0
6, 3020, 1208.0, 0
6, 3166, 1266.4, 1
6, 9134, 3653.6, 0
6, 4736, 1894.4, 1
4, 7621, 4572.6, 1
4, 9545, 5727.0, 1
6, 8226, 3290.4, 0
5, 2211, 442.2, 0
7, 4651, 1395.3, 0
6, 7992, 3196.8, 0
9, 1032, 309.6, 0
9, 3287, 986.1, 0
9, 7365, 2209.5, 0
0, 4324, 3026.8, 0
2, 5493, 1098.6, 0
1, 4564, 1369.2, 1
8, 6159, 1847.7, 0
3, 1857, 928.5, 1
9, 9135, 2740.5, 0
1, 2020, 606.0, 1
4, 1058, 634.8, 0
3, 6056, 3028.0, 0
3, 9564, 4782.0, 0
5, 1736, 347.2, 0
1, 9025, 2707.5, 0
7, 4442, 1332.6, 0
3, 3164, 1582.0, 0
2, 1995, 399.0, 0
5, 6601, 1320.2, 0
6, 7480, 2992.0, 1
9, 3477, 1043.1, 0
9, 8391, 2517.3, 0
2, 2182, 436.4, 0
6, 2341, 936.4, 1
0, 2680, 1876.0, 0
9, 6191, 1857.3, 0
0, 4134, 2893.8, 1
6, 3240, 1296.0, 1
8, 5903, 1770.9, 0
9, 6122, 1836.6, 0
